Class, AC Molar Ratio
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACAA,0.114842918
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090ACLA,0.224591997
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
1090AALA,0
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACAA,0.508060835
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
5050ACLA,0.845444983
