***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,26.67,,,,,,System Temp (C):,30.84,,,,,,,
Humidity (%):,40.29,,,,,,Humidity (%):,46.39,,,,,,,
Lamp Intensity:,1500,,,,,,Lamp Intensity:,1600,,,,,,,
Data Date-Time:,21/6/2T14:17:13,,,,,,Data Date-Time:,19/11/28T15:7:21,,,,,,,
Total Measurement Time in sec:,4.9927506,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.6.5,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(HH:MM:SS):,16min 46sec ,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,1.20491503197277,100055,6242
904.71879766459,1.21795186563303,109579,6634
909.91882846218,1.21944149729071,121740,7345
913.813741916224,1.22481654273268,132838,7916
917.704275675283,1.21897374553001,146444,8845
921.590429739357,1.21604167324525,163236,9926
925.472204108447,1.21744833550617,182937,11088
929.349598782552,1.22121452802643,204368,12280
933.222613761673,1.22530696481518,224934,13389
937.091249045809,1.22886812481148,243792,14393
942.242616565792,1.23018926230673,265857,15648
946.101032561631,1.23479329454043,280607,16342
949.955068862485,1.23627744896603,294576,17097
953.804725468354,1.23690137309049,308527,17881
957.650002379239,1.23516483709767,322591,18771
961.490899595139,1.2394639635002,336839,19407
965.327417116055,1.23967449725222,351450,20239
969.159554941986,1.23939570649998,366062,21094
972.987313072933,1.23933385964998,380238,21914
978.084177721996,1.23937174720715,398162,22945
981.901716564645,1.24066438327553,410453,23583
985.71487571231,1.24217495382239,421751,24148
989.52365516499,1.24051101769171,431656,24810
993.328054922685,1.24053641293119,439859,25280
997.128074985396,1.23883635245157,446269,25749
1000.92371535312,1.23997426723679,452288,26028
1004.71497602586,1.23897377028354,456379,26324
1009.76317739732,1.24067386243588,460101,26435
1013.54421878176,1.24068925386234,461649,26523
1017.32088047122,1.24082351363951,462523,26565
1021.0931624657,1.23963547730845,462718,26649
1024.86106476519,1.24067086088462,462169,26554
1028.62458736969,1.2390579868394,460976,26584
1032.38373027922,1.24026562871468,458921,26392
1036.13849349375,1.23902149586973,456984,26356
1039.8888770133,1.24001686329098,454748,26167
1044.88257551384,1.23908217852103,451568,26040
1048.6227397451,1.23893693609424,448730,25885
1052.35852428137,1.23789118638141,445662,25770
1056.08992912265,1.23545198540316,442994,25760
1059.81695426895,1.2358637302637,440574,25595
1063.53959972027,1.23851967595004,438410,25314
1067.2578654766,1.23488541796153,437058,25448
1070.97175153795,1.2349039717904,435737,25370
1075.91678676088,1.2338452623757,434539,25362
1079.62045353393,1.23298571708622,434569,25414
1083.31974061199,1.23402376202679,434152,25329
1087.01464799507,1.23331543619875,434283,25378
1090.70517568317,1.23334868857422,434128,25367
1094.39132367628,1.23347722472994,435335,25430
1098.0730919744,1.23471069721157,436247,25411
1101.75048057755,1.23759842039432,437481,25314
1105.4234894857,1.24028113792184,438192,25199
1110.31402183771,1.24593399465038,438912,24914
1113.97681145757,1.2478712084802,439954,24862
1117.63522138245,1.25225048262484,440945,24668
1121.28925161234,1.25389084064366,441555,24609
1124.93890214725,1.25720498102919,442587,24479
1128.58417298717,1.26353967488303,442834,24138
1132.2250641321,1.27357749737016,443463,23620
1135.86157558206,1.27426069838286,444274,23626
1140.70344465646,1.26884113514568,445580,23993
1144.32973681812,1.26441065110096,446701,24300
1147.95164928479,1.25967401785082,447456,24608
1151.56918205647,1.25594491220272,448588,24883
1155.18233513317,1.25432641448268,449829,25045
1158.79110851489,1.25671104203638,450879,24966
1162.39550220162,1.25616758033323,452191,25070
1165.99551619337,1.26163480632256,453828,24846
1169.59115049013,1.2620071693253,455369,24909
1174.37851669362,1.26311025830108,457920,24985
1177.96393170208,1.26448660894135,460587,25051
1181.54496701556,1.26071240956944,463619,25436
1185.12162263406,1.25949301106392,467790,25737
1188.69389855757,1.25505812070241,471889,26229
1192.2617947861,1.25160783389871,477347,26744
1195.82531131964,1.24664906543142,483080,27376
1199.3844481582,1.24414046971318,488719,27856
1204.12315108408,1.24234360076627,496468,28415
1207.67206863434,1.23900107966505,502527,28984
1211.21660648961,1.24002656044021,508529,29261
1214.7567646499,1.2406393775554,514677,29573
1218.29254311521,1.24058925491351,521091,29945
1221.82394188553,1.24207060503387,527778,30226
1225.35096096087,1.23957555346821,534633,30795
1228.87360034122,1.24177070641302,540989,31004
1232.39186002659,1.23992620145067,547488,31510
1237.07606008155,1.23948531518932,556670,32071
1240.58410047862,1.23965486060122,562496,32394
1244.0877611807,1.23814396044582,567689,32807
1247.58704218781,1.23911454111747,573104,33046
1251.08194349992,1.23883513238186,579564,33440
1254.57246511705,1.23981593736235,586294,33752
