***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,26.99,,,,,,System Temp (C):,25.87,,,,,,,
Humidity (%):,25.12,,,,,,Humidity (%):,26.83,,,,,,,
Lamp Intensity:,1478,,,,,,Lamp Intensity:,1464,,,,,,,
Data Date-Time:,2021/10/27T15:23:03,,,,,,Data Date-Time:,2021/10/27T15:20:30,,,,,,,
Total Measurement Time in sec:,3.155511,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 39min 42sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,-0.0236858124123483,3907,4126
904.71879766459,-0.0186412495191383,4241,4427
909.91882846218,-0.0162188719594359,4783,4965
913.813741916224,-0.0159272701187348,5247,5443
917.704275675283,-0.00895789574336322,5806,5927
921.590429739357,-0.00941684741811614,6615,6760
925.472204108447,-0.0182875592312737,7301,7615
929.349598782552,-0.0168530468384716,8062,8381
933.222613761673,-0.0149712692093226,8753,9060
937.091249045809,-0.016334213042179,9445,9807
942.242616565792,-0.0252701590671095,10098,10703
946.101032561631,-0.0203853657607185,10737,11253
949.955068862485,-0.0157929027795043,11368,11789
953.804725468354,-0.0213949496562108,11763,12357
957.650002379239,-0.0174571167354258,12410,12919
961.490899595139,-0.0207570271974341,12828,13456
965.327417116055,-0.0213013875476826,13467,14144
969.159554941986,-0.0155699449240143,14109,14624
972.987313072933,-0.0154354699468726,14704,15236
978.084177721996,-0.0192571120669813,15329,16024
981.901716564645,-0.0159769569916571,15958,16556
985.71487571231,-0.0188171446498845,16260,16980
989.52365516499,-0.0159038780779718,16837,17465
993.328054922685,-0.0159120090462485,17123,17762
997.128074985396,-0.0152201513171929,17383,18003
1000.92371535312,-0.0159756849808695,17694,18357
1004.71497602586,-0.0114460585414407,18011,18492
1009.76317739732,-0.0167782755172112,17949,18656
1013.54421878176,-0.0190535409967127,18016,18824
1017.32088047122,-0.0165389222734793,18085,18787
1021.0931624657,-0.0156829252154273,18112,18778
1024.86106476519,-0.0175331880692227,18035,18778
1028.62458736969,-0.020234073940328,18011,18870
1032.38373027922,-0.0190637495838613,17917,18721
1036.13849349375,-0.0205881033329204,17900,18769
1039.8888770133,-0.0191786782331518,17918,18727
1044.88257551384,-0.0145151095257859,17948,18558
1048.6227397451,-0.0184731803357933,17697,18466
1052.35852428137,-0.0167177409563799,17684,18378
1056.08992912265,-0.0174858814730596,17671,18397
1059.81695426895,-0.0173150736799242,17603,18319
1063.53959972027,-0.015682647419249,17650,18299
1067.2578654766,-0.0159319023077418,17690,18351
1070.97175153795,-0.0164693681790288,17723,18408
1075.91678676088,-0.0149979466916925,17702,18324
1079.62045353393,-0.0185754646969305,17689,18462
1083.31974061199,-0.0127276650173514,17821,18351
1087.01464799507,-0.0177962420297818,17763,18506
1090.70517568317,-0.0193926536846768,17694,18502
1094.39132367628,-0.0165305775450642,17785,18475
1098.0730919744,-0.0155964240849085,17722,18370
1101.75048057755,-0.0165572501435273,17833,18526
1105.4234894857,-0.0163552178672924,17823,18507
1110.31402183771,-0.0196621319725486,17554,18367
1113.97681145757,-0.0165516391995441,17556,18238
1117.63522138245,-0.0182453224579009,17410,18157
1121.28925161234,-0.0191241363048591,17215,17990
1124.93890214725,-0.0169703569939926,17240,17927
1128.58417298717,-0.0169485311032831,17137,17819
1132.2250641321,-0.0181631240381624,17069,17798
1135.86157558206,-0.0205717067459976,17090,17919
1140.70344465646,-0.0168808296164841,17308,17994
1144.32973681812,-0.0182412844790104,17344,18088
1147.95164928479,-0.0185859597577185,17290,18046
1151.56918205647,-0.0171344449438553,17345,18043
1155.18233513317,-0.0167529444673407,17341,18023
1158.79110851489,-0.0201701146860123,17207,18025
1162.39550220162,-0.02176102076835,17243,18129
1165.99551619337,-0.0195168705165881,17209,18000
1169.59115049013,-0.0192650909789257,17439,18230
1174.37851669362,-0.0209917545683241,17487,18353
1177.96393170208,-0.0174157113804259,17597,18317
1181.54496701556,-0.0186827322224259,17608,18382
1185.12162263406,-0.0159355073239081,18007,18680
1188.69389855757,-0.0202503877147867,18059,18921
1192.2617947861,-0.0197466774649815,18423,19280
1195.82531131964,-0.0202871731804432,18611,19501
1199.3844481582,-0.0195705730748479,18918,19790
1204.12315108408,-0.0219791117694431,19071,20061
1207.67206863434,-0.0210529493448311,19569,20541
1211.21660648961,-0.0206412933418277,19825,20790
1214.7567646499,-0.0200772012445717,20184,21139
1218.29254311521,-0.018911862378837,20558,21473
1221.82394188553,-0.0194623964678547,20771,21723
1225.35096096087,-0.0214328565946203,21052,22117
1228.87360034122,-0.0204498311081507,21301,22328
1232.39186002659,-0.0198776618855341,21523,22531
1237.07606008155,-0.018041062669231,22020,22954
1240.58410047862,-0.0207260794714502,22156,23239
1244.0877611807,-0.0170088758254576,22533,23433
1247.58704218781,-0.0195202501113903,22731,23776
1251.08194349992,-0.0197150727581945,22975,24042
1254.57246511705,-0.0190216362936927,23251,24292
1258.0586070392,-0.019325974950291,23580,24653
1261.54036926637,-0.0181829220325664,23856,24876
1266.17590604372,-0.0201968940038288,24326,25484
1269.64744898258,-0.0193804813502255,24564,25685
1273.11461222646,-0.0201707490963061,24800,25979
1276.57739577536,-0.0168697291657612,25222,26221
1280.03579962927,-0.019451898073367,25345,26506
1283.4898237882,-0.0173538306934522,25633,26678
1286.93946825214,-0.0194393015686987,25755,26934
1290.3847330211,-0.0187366953924486,25926,27069
1293.82561809507,-0.0196742147879613,25980,27184
1298.40665200151,-0.017328737759044,26285,27355
1301.83731778718,-0.0182738278176715,26341,27473
1305.26360387787,-0.018941592251669,26447,27626
1308.68551027358,-0.0216851771159102,26426,27779
1312.1030369743,-0.0203961638758601,26516,27791
1315.51618398004,-0.0194469975255128,26487,27700
1318.92495129079,-0.0191737364712006,26585,27785
1322.32933890656,-0.0185319386567003,26471,27625
1326.86170953539,-0.0210846624035113,26092,27390
1330.25587786286,-0.0196381089106535,25964,27165
1333.64566649535,-0.0190587519799713,25679,26831
1337.03107543285,-0.0185682404337791,25594,26712
1340.41210467537,-0.021817274926141,25175,26472
1343.7887542229,-0.0216807296274074,25025,26306
1347.16102407545,-0.019849395370928,24826,25987
1350.52891423301,-0.0229952047097325,24570,25906
1353.89242469559,-0.0213164490717867,24231,25450
1358.3702924535,-0.0233039283639937,23873,25189
1361.72358362778,-0.0224641849949882,23584,24836
1365.07249510707,-0.0191599744761135,23545,24607
1368.41702689139,-0.0247861816252025,23224,24588
1371.75717898071,-0.0230435375028064,23049,24305
1375.09295137506,-0.0206034731565668,22785,23892
1378.42434407441,-0.0205981248843871,22544,23639
1381.75135707879,-0.0237816406555475,22048,23289
1385.07399038818,-0.0239769826893527,21652,22881
1389.49735527517,-0.0242942803826097,21118,22333
1392.80976929626,-0.0253292801367739,20647,21887
1396.11780362236,-0.0246159170566864,20337,21523
1399.42145825349,-0.023322017782109,20120,21230
1402.72073318962,-0.0251229822284088,19898,21083
1406.01562843078,-0.0226222776848022,19768,20825
1409.30614397695,-0.0293927503732581,19451,20813
1412.59227982813,-0.0269718068898778,19259,20493
1416.96698143751,-0.0227662076520455,19008,20031
1420.2428980004,-0.0302504064207909,18645,19990
1423.5144348683,-0.0262485171561231,18426,19574
1426.78159204122,-0.0290579457824488,18281,19546
1430.04436951915,-0.0302941253888394,18105,19413
1433.3027673021,-0.0269432315108461,18327,19500
1436.55678539006,-0.0245579485755629,18444,19517
1439.80642378304,-0.0272635722040007,18321,19508
1443.05168248104,-0.0260301818698828,18391,19527
1447.3718812195,-0.0290662492127597,18030,19278
1450.6069206292,-0.0236445781326466,18033,19042
1453.83758034391,-0.0305979369156285,17686,18977
1457.06386036364,-0.0278859854991924,17688,18861
1460.28576068838,-0.0285457436741893,17472,18659
1463.50328131814,-0.0283526749319388,17254,18418
1466.71642225291,-0.0341559948715745,16988,18378
1469.9251834927,-0.0336433065288129,16773,18124
1474.19671895356,-0.0326904936462147,16488,17777
1477.39526090505,-0.0338495732591566,16235,17551
1480.58942316156,-0.0284825141842898,16022,17108
1483.77920572308,-0.0349432078240036,15492,16790
1486.96460858962,-0.0295571067468546,15335,16415
1490.14563176117,-0.0321682632994909,15114,16276
1493.32227523774,-0.0280287236002435,14820,15808
1496.49453901933,-0.0357998749420061,14501,15747
1499.66242310593,-0.0368664434370006,14380,15654
1503.87945569586,-0.0327049099814968,14243,15357
1507.03712049416,-0.0304898414000886,14176,15207
1510.19040559748,-0.0286365808055057,13967,14919
1513.33931100582,-0.0333911511457827,13814,14918
1516.48383671916,-0.0313746053237897,13722,14750
1519.62398273753,-0.0307610150117624,13488,14478
1522.75974906091,-0.0376543566559812,13216,14413
1525.8911356893,-0.0345244580190957,13077,14159
1530.05950500163,-0.0322814847363337,12817,13806
1533.18067234173,-0.037739040922129,12425,13553
1536.29745998684,-0.0325509585680432,12360,13322
1539.40986793697,-0.0313056224910814,12081,12984
1542.51789619211,-0.0368937251606861,11741,12782
1545.62154475227,-0.0409725042790488,11563,12707
1548.72081361745,-0.0317936227809833,11428,12296
1551.81570278764,-0.035671079942303,11308,12276
1554.90621226284,-0.0318390938842892,11135,11982
1559.02007870425,-0.0330178132254632,10862,11720
1562.10036889116,-0.0320296222957025,10805,11632
1565.17627938308,-0.0300702908474248,10545,11301
1568.24781018002,-0.0281587635694468,10435,11134
1571.31496128198,-0.0352029242263786,10150,11007
1574.37773268895,-0.0315031843084713,10022,10776
1577.43612440093,-0.0329271425711743,9852,10628
1580.49013641793,-0.0309942270204726,9733,10453
1584.55533958173,-0.0280287236002435,9405,10032
1587.59913231044,-0.0331398410192855,9181,9909
1590.63854534416,-0.0324783438612589,8976,9673
1593.67357868289,-0.0386664424423834,8731,9544
1596.70423232664,-0.03227222215261,8504,9160
1599.7305062754,-0.0245227373143077,8504,8998
1602.75240052918,-0.0280020887542076,8153,8696
1605.76991508798,-0.031886264438403,8007,8617
1608.78304995179,-0.0300150145028881,7826,8386
1612.79375024467,-0.0277508406442186,7426,7916
1615.79666582019,-0.0191521933090584,7408,7742
1618.79520170071,-0.0362539770194558,7064,7679
1621.78935788626,-0.0306934441923889,6814,7313
1624.77913437682,-0.0290521812768468,6649,7109
1627.76453117239,-0.0369877059591252,6423,6994
1630.74554827298,-0.0244985651207437,6238,6600
1633.72218567859,-0.014926636890332,6120,6334
1637.68422269387,-0.0288291095110689,5726,6119
1640.65064081117,-0.0335230341436635,5508,5950
1643.6126792335,-0.0473030241558599,5049,5630
1646.57033796084,-0.027233609642763,4852,5166
1649.52361699319,-0.0375234571560614,4643,5062
1652.47251633056,-0.039025698954192,4265,4666
1655.41703597295,-0.0123727337347135,4187,4308
1658.35717592035,-0.0313426191581943,3835,4122
1661.29293617276,-0.0266672639049262,3774,4013
1665.20047031712,-0.0276528737438964,3468,3696
1668.12601128124,-0.0393032496315866,3220,3525
1671.04717255037,-0.0343149926650485,3065,3317
1673.96395412452,-0.0412501299355753,2770,3046
1676.87635600369,-0.0649259193035836,2431,2823
1679.78437818787,-0.0583266038369447,2108,2411
1682.68802067706,-0.0622314329500642,1733,2000
1685.58728347128,-0.088750968102269,1354,1661
1689.44615433803,-0.0764272234000927,1081,1289
1692.33519784394,-0.0140969734473132,879,908
1695.21986165487,-0.0466805397538538,846,942
1698.10014577081,-0.0593769629763623,587,673
1700.97605019177,-0.106493630176352,493,630
