***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Hadamard 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Hadamard,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,29.38,,,,,,System Temp (C):,25.5,,,,,,,
Humidity (%):,37.62,,,,,,Humidity (%):,46.33,,,,,,,
Lamp Intensity:,1515,,,,,,Lamp Intensity:,1459,,,,,,,
Data Date-Time:,2021/10/29T15:10:33,,,,,,Data Date-Time:,2021/10/29T14:59:55,,,,,,,
Total Measurement Time in sec:,3.1682278,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-M-R2-OB,,,,,,Shift Vector Coefficients:,-6.20249141707927,0.0552441215585706,-0.000122501697169825,,,,,
Serial Number:,818R045,(95UB121GC2V818R045),,,,,Pixel to Wavelength Coefficients:,1776.51064022294,-0.918730919349196,-0.000243316388033348,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.3.2,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,3hr 42min 51sec ,,,,,,,
UUID:,DE:66:30:83:1F:90:60:37,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.813664922249,0.035683286570053,3461,3188
904.71879766459,0.0350196694664665,3795,3501
909.91882846218,0.0129171700155128,4129,4008
913.813741916224,0.024559600521205,4547,4297
917.704275675283,0.017601094978607,4960,4763
921.590429739357,0.0243325780402798,5616,5310
925.472204108447,0.0280332709721674,6367,5969
929.349598782552,0.0312468724843029,7188,6689
933.222613761673,0.0187452595461583,7646,7323
937.091249045809,0.0194384780647174,8293,7930
942.242616565792,0.0354299751155905,9165,8447
946.101032561631,0.0239613204262672,9501,8991
949.955068862485,0.0162313308589587,9868,9506
953.804725468354,0.0231540351920797,10324,9788
957.650002379239,0.0147246435876014,10799,10439
961.490899595139,0.0143939089502431,11227,10861
965.327417116055,0.0188665841924043,11832,11329
969.159554941986,0.0147293919200786,12205,11798
972.987313072933,0.0161357742244224,12722,12258
978.084177721996,0.0075872852932402,13165,12937
981.901716564645,0.00643411000540986,13600,13400
985.71487571231,0.0118111946577224,13977,13602
989.52365516499,0.00615245424469312,14218,14018
993.328054922685,0.00943926146847974,14558,14245
997.128074985396,0.0115391518693241,14836,14447
1000.92371535312,0.00604921516727783,14965,14758
1004.71497602586,0.00948711010487469,15087,14761
1009.76317739732,0.00798315693968838,15263,14985
1013.54421878176,0.0097206430369038,15361,15021
1017.32088047122,0.0109294629635655,15371,14989
1021.0931624657,0.0159779505812445,15503,14943
1024.86106476519,0.0129948863404408,15401,14947
1028.62458736969,0.0148768108350944,15412,14893
1032.38373027922,0.0165383188738481,15362,14788
1036.13849349375,0.0126764256061274,15365,14923
1039.8888770133,0.0187154015986435,15387,14738
1044.88257551384,0.0161496546081387,15259,14702
1048.6227397451,0.0150899696945909,15198,14679
1052.35852428137,0.0165821503869098,15162,14594
1056.08992912265,0.0174777607714419,15135,14538
1059.81695426895,0.0192069280078258,15071,14419
1063.53959972027,0.0191181607977062,15093,14443
1067.2578654766,0.0187541192938154,15001,14367
1070.97175153795,0.0190903511478198,15068,14420
1075.91678676088,0.0223781444551691,15053,14297
1079.62045353393,0.0180969936568673,15044,14430
1083.31974061199,0.0163066379836557,14952,14401
1087.01464799507,0.0194457416287267,15027,14369
1090.70517568317,0.0162748892919895,15035,14482
1094.39132367628,0.0188705274626415,14981,14344
1098.0730919744,0.0177551706861849,15078,14474
1101.75048057755,0.0147874315535523,14936,14436
1105.4234894857,0.0141659192550707,14957,14477
